"","Bx","By","Bz"
"1",-3.3,2.93,-1.47
"2",-3.29,2.94,-1.54
"3",-1.44,2.2,-0.47
"4",-3.31,3,-1.27
"5",-3.29,2.92,-1.45
"6",-3.3,2.93,-1.45
"7",-3.34,2.94,-1.31
"8",3.5170526590309,-0.791816193301452,0.276833064450307
"9",-3.31,2.98,-1.52
"10",-0.36,1.87,-0.39
"11",1.08,1.24,0.32
"12",2.03,0.87,0.9
"13",2.28,1.3,0.12
"14",2.05,1.44,0.12
"15",2.71,1.12,0.31
"16",2.28,1.38,0.07
"17",1.81,1.42,0.02
"18",0.89,1.49,-0.26
"19",-0.24,0.9,-0.39
"20",-0.71,0.18,-0.93
"21",-1.45,0.94,-1.06
"22",0.68,-0.39,-0.06
"23",0.17,0.02,-0.12
"24",1.3,-0.39,0.28
"25",-0.17,0.1,-0.35
"26",1.35,-0.13,0.73
"27",1.14,1.7,-0.63
"28",1.19,-0.71,0.89
"29",0.32,1.14,-0.3
"30",0.79,-0.52,-0.4
"31",1.23,1.29,-0.54
"32",-0.21,0.83,-0.65
"33",1.47,-1.11,0.22
"34",1.56,0.07,0.26
"35",0.54,-1.55,-0.18
"36",1.88,-0.74,0.49
"37",-1.28,2.22,-0.55
"38",3.02,-0.13,0.91
"39",1.17,-1.25,0.06
"40",-0.28,0.13,-0.53
"41",1.25,-1.47,0.01
"42",0.46,-1.19,-0.33
"43",-1.31,1.18,-0.87
"44",-0.81,0.55,-0.66
"45",-0.69,0.94,-0.5
"46",-0.32,-0.07,-0.3
"47",-0.32,-0.13,-0.3
"48",-0.73,1.04,-0.72
"49",1.16,-0.47,0.46
"50",1.34,-0.66,0.57
"51",1.49,-0.64,0.63
"52",1.84,-1.06,0.71
"53",1.4,-0.92,0.71
"54",1.4,-1.17,1.03
"55",1.69,-1.37,0.9
"56",0.53,-0.47,0.45
"57",-0.79,0.59,-0.12
"58",-0.76,0.54,-0.28
"59",-0.15,0.14,0
"60",0.62,-0.55,0.2
"61",0.33,-0.07,0.28
"62",0.27,-0.17,0.09
"63",1.34,-0.81,0.76
"64",-0.36,0.55,0.07
"65",-1.93,1.76,-0.54
"66",-0.8,0.9,-0.06
"67",-0.24,0.37,0.44
"68",-0.92,0.94,-0.07
"69",0.82,0.68,-0.04
"70",2.43,-1.08,1.28
"71",1.24,-0.54,0.23
"72",0.87,0.64,-0.06
"73",1.12,-0.22,0.26
"74",2.18,-0.26,0.99
"75",2.6,-0.88,1.46
"76",2.37,-0.47,1.12
"77",2.57,-0.41,1.37
"78",2.89,-0.9,1.5
